"","start","end"
"164",27016362,27018362
"165",862770,864770
"166",10568957,10570957
"167",22146265,22148265
"168",19312714,19314714
"169",12834786,12836786
"170",20171569,20173569
"171",24459673,24461673
"172",3765280,3767280
"173",12545412,12547412
"174",12916494,12918494
"175",23002687,23004687
"176",7058556,7060556
"177",15162185,15164185
"178",19338869,19340869
"179",26914064,26916064
"180",19724708,19726708
"181",805240,807240
"182",20688985,20690985
"183",1819714,1821714
"184",7278072,7280072
"185",25801421,25803421
"186",3297638,3299638
"187",13217486,13219486
"188",7422290,7424290
"189",14852217,14854217
"190",4795056,4797056
"191",19815729,19817729
"192",7384170,7386170
"193",12468014,12470014
"194",407588,409588
"195",2114701,2116701
"196",2601373,2603373
"197",7960561,7962561
"198",18779031,18781031
"199",27082361,27084361
"200",26206658,26208658
"201",18925867,18927867
"202",7971952,7973952
"203",19028422,19030422
"204",15969781,15971781
"205",18832954,18834954
"206",16153869,16155869
"207",481932,483932
"208",2097290,2099290
"209",18602051,18604051
"210",16960598,16962598
"211",14429511,14431511
"212",20319991,20321991
"213",9647258,9649258
"214",20970591,20972591
"215",18701373,18703373
"216",21420130,21422130
"217",12869896,12871896
"218",3484378,3486378
"219",5127045,5129045
"220",7153988,7155988
"221",959335,961335
"222",24604645,24606645
"223",9234959,9236959
"224",12761864,12763864
"225",20843262,20845262
"226",30068,32068
"227",26928336,26930336
"228",4158477,4160477
"229",319654,321654
"230",17173946,17175946
"231",18616378,18618378
"232",23348960,23350960
"233",7609465,7611465
"234",3069986,3071986
"235",22207971,22209971
"236",20253549,20255549
"237",14012104,14014104
"238",10764679,10766679
"239",26558243,26560243
"240",12739856,12741856
"241",6645798,6647798
"242",24832396,24834396
"243",21587187,21589187
"244",11180485,11182485
"245",24574407,24576407
"246",19246667,19248667
"247",4734526,4736526
"248",10380720,10382720
"249",7521369,7523369
"250",3664279,3666279
"251",22334805,22336805
"252",19798664,19800664
"253",14015684,14017684
"254",26946382,26948382
"255",11352682,11354682
"256",2712909,2714909
"257",9139728,9141728
"258",11060220,11062220
"259",14559003,14561003
"260",16191762,16193762
"261",21137386,21139386
"262",9666261,9668261
"263",26289361,26291361
"264",10363723,10365723
"265",12471445,12473445
"266",24051250,24053250
"267",1919678,1921678
"268",24676343,24678343
"269",19286539,19288539
"270",7303901,7305901
"271",24424155,24426155
"272",15368013,15370013
"273",20768631,20770631
"274",174148,176148
"275",17654970,17656970
"276",13098556,13100556
"277",13390178,13392178
"278",6609250,6611250
"279",12239589,12241589
"280",12735654,12737654
"281",12929150,12931150
"282",18784465,18786465
"283",12299690,12301690
"284",25424221,25426221
"285",8337140,8339140
"286",3522169,3524169
"287",20575815,20577815
"288",19635480,19637480
"289",10585107,10587107
"290",2921200,2923200
"291",13984765,13986765
"292",22341837,22343837
"293",25458372,25460372
"294",6111540,6113540
"295",9828768,9830768
"296",1645720,1647720
"297",3737943,3739943
"298",1629917,1631917
"299",5916800,5918800
"300",3825718,3827718
"301",13055250,13057250
"302",4959257,4961257
"303",1654365,1656365
"304",19565434,19567434
"305",7634190,7636190
"306",10818422,10820422
"307",7712924,7714924
"308",18709336,18711336
"309",345558,347558
"310",26674112,26676112
"311",13501542,13503542
"312",10878125,10880125
"313",27378599,27380599
"314",14334987,14336987
"315",13934734,13936734
"316",7325723,7327723
"317",8383508,8385508
"318",21747743,21749743
"319",21343861,21345861
"320",7038021,7040021
"321",1233540,1235540
"322",25929818,25931818
"323",9568216,9570216
"324",18540553,18542553
"325",8464019,8466019
"326",21439884,21441884
"327",784010,786010
"328",22623596,22625596
"329",10737840,10739840
"330",24834740,24836740
"331",21903696,21905696
"332",1371852,1373852
"333",21213997,21215997
"334",1287359,1289359
"335",9864385,9866385
"336",25542056,25544056
"337",25159865,25161865
"338",19990621,19992621
"339",5193225,5195225
"340",16171302,16173302
"341",8411101,8413101
"342",24828723,24830723
"343",8416376,8418376
"344",19843046,19845046
"345",22700182,22702182
"346",22088446,22090446
"347",8363319,8365319
"348",1222576,1224576
"349",113018,115018
"350",2582543,2584543
"351",21685199,21687199
"352",11418955,11420955
"353",8899351,8901351
"354",164745,166745
"355",10513680,10515680
"356",27297678,27299678
"357",11548436,11550436
"358",27603282,27605282
"359",4448418,4450418
"360",8986655,8988655
"361",13883159,13885159
"362",27505530,27507530
"363",19276189,19278189
"364",12448791,12450791
"365",14388840,14390840
"366",16513420,16515420
"367",7424571,7426571
"368",7769669,7771669
"369",4776621,4778621
"370",9638839,9640839
"371",26610953,26612953
"372",6509933,6511933
"373",24418206,24420206
"374",21088804,21090804
"375",26434937,26436937
"376",21410771,21412771
"377",2447729,2449729
"378",22266832,22268832
"379",9242593,9244593
"380",7615037,7617037
"381",16460291,16462291
"382",1153701,1155701
"383",26195909,26197909
"384",9041366,9043366
"385",18583642,18585642
"386",16755015,16757015
"387",24731120,24733120
"388",642884,644884
"389",15937878,15939878
"390",5858985,5860985
"391",3423977,3425977
"392",15609944,15611944
"393",1587740,1589740
"394",26737216,26739216
"395",18769077,18771077
"396",13791597,13793597
"397",16358123,16360123
"398",7174932,7176932
"399",25816364,25818364
"400",9189016,9191016
"401",19388804,19390804
"402",11165320,11167320
"403",1679319,1681319
"404",7556495,7558495
"405",19515294,19517294
"406",25212941,25214941
"407",1551269,1553269
"408",18892292,18894292
"409",24539405,24541405
"410",39038,41038
"411",15742038,15744038
"412",15583089,15585089
"413",15234070,15236070
"414",22357379,22359379
"415",21385955,21387955
"416",4661095,4663095
"417",20315942,20317942
"418",23295606,23297606
"419",1418725,1420725
"420",11293555,11295555
"421",6368027,6370027
"422",17991431,17993431
"423",19602934,19604934
"424",22203144,22205144
"425",25237931,25239931
"426",10405776,10407776
"427",12011982,12013982
"428",1035912,1037912
"429",2232573,2234573
"430",8491077,8493077
"431",9730921,9732921
"432",15814259,15816259
"433",4590534,4592534
"434",24826490,24828490
"435",8090351,8092351
"436",14998116,15000116
"437",9695215,9697215
"438",19002228,19004228
"439",14857428,14859428
"440",4755840,4757840
"441",15985627,15987627
"442",20470478,20472478
"443",21998498,22000498
"444",22477315,22479315
"445",424712,426712
"446",23183273,23185273
"447",22612845,22614845
"448",1003970,1005970
"449",5492543,5494543
"450",26591395,26593395
"451",20981552,20983552
"452",8460540,8462540
"453",18946017,18948017
"454",15555387,15557387
"455",5674681,5676681
"456",12970888,12972888
"457",19957199,19959199
"458",6658417,6660417
"459",26515036,26517036
"460",4788363,4790363
"461",20224073,20226073
"462",1693394,1695394
"463",10869058,10871058
"464",24338906,24340906
"465",27229003,27231003
"466",14343643,14345643
"467",22060173,22062173
"468",12968749,12970749
"469",14375650,14377650
"470",16651579,16653579
"471",10277570,10279570
"472",1514624,1516624
"473",16780907,16782907
"474",8911012,8913012
"475",747830,749830
"476",5760258,5762258
"477",794980,796980
"478",24431385,24433385
"479",24530219,24532219
"480",8713135,8715135
"481",26304929,26306929
"482",26716226,26718226
"483",2765719,2767719
"484",26579499,26581499
"485",13258843,13260843
"486",10940741,10942741
"487",14917384,14919384
"488",4581826,4583826
"489",25021440,25023440
"490",1252527,1254527
"491",5651987,5653987
"492",5421551,5423551
"493",11478637,11480637
"494",20879986,20881986
"495",7306300,7308300
"496",6702052,6704052
"497",26112563,26114563
"498",4745121,4747121
"499",26686556,26688556
"500",19879113,19881113
"501",23585675,23587675
"502",19436968,19438968
"503",14582232,14584232
"504",24341973,24343973
"505",10615686,10617686
"506",25951571,25953571
"507",27618369,27620369
"508",6926713,6928713
"509",6817174,6819174
"510",5034037,5036037
"511",18835353,18837353
"512",14894326,14896326
"513",4760066,4762066
"514",4345098,4347098
"515",1142336,1144336
"516",2984621,2986621
"517",11874197,11876197
"518",22778297,22780297
"519",18510151,18512151
"520",12343398,12345398
"521",17738872,17740872
"522",3163618,3165618
"523",2217210,2219210
"524",10657386,10659386
"525",13298667,13300667
"526",3543306,3545306
"527",1781208,1783208
"528",27614301,27616301
"529",5096310,5098310
"530",3440590,3442590
"531",18652732,18654732
"532",1725626,1727626
"533",8598908,8600908
"534",2450519,2452519
"535",18586451,18588451
"536",22150137,22152137
"537",9547043,9549043
"538",16840374,16842374
"539",14422191,14424191
"540",9191314,9193314
"541",24907421,24909421
"542",23105130,23107130
"543",7857911,7859911
"544",543297,545297
"545",13698681,13700681
"546",412837,414837
"547",24162594,24164594
"548",12301791,12303791
"549",20015105,20017105
"550",14030133,14032133
"551",3636325,3638325
"552",4464374,4466374
"553",4269425,4271425
"554",5177285,5179285
"555",8256336,8258336
"556",20414974,20416974
"557",25612825,25614825
"558",18931342,18933342
"559",12480707,12482707
"560",7846850,7848850
"561",18969061,18971061
"562",20299641,20301641
"563",14444598,14446598
"564",27348329,27350329
"565",24276702,24278702
"566",18374159,18376159
"567",10962535,10964535
"568",21395976,21397976
"569",23110822,23112822
"570",22836748,22838748
"571",19676096,19678096
"572",18866891,18868891
"573",18328943,18330943
"574",25980101,25982101
"575",14685203,14687203
"576",9419765,9421765
"577",24279765,24281765
"578",27667667,27669667
"579",6463164,6465164
"580",7993552,7995552
"581",16927793,16929793
"582",27361199,27363199
"583",14225452,14227452
"584",12066787,12068787
"585",26271020,26273020
"586",10337169,10339169
"587",27423401,27425401
"588",1244437,1246437
"589",26632460,26634460
"590",16433872,16435872
"591",27731585,27733585
"592",18227308,18229308
"593",22294437,22296437
"594",4694960,4696960
"595",25096504,25098504
"596",6554321,6556321
"597",27412812,27414812
"598",12715923,12717923
"599",11509410,11511410
"600",24541616,24543616
"601",19344590,19346590
"602",18618406,18620406
"603",12440398,12442398
"604",7601408,7603408
"605",14279154,14281154
"606",11578291,11580291
"607",11033013,11035013
"608",22547608,22549608
"609",27334947,27336947
"610",26359966,26361966
"611",19015968,19017968
"612",14812679,14814679
"613",23304212,23306212
"614",12271749,12273749
"615",5163899,5165899
"616",18543837,18545837
"617",10058857,10060857
"618",18278051,18280051
"619",22453858,22455858
"620",19088148,19090148
"621",1305066,1307066
"622",3908038,3910038
"623",9677955,9679955
"624",6768842,6770842
"625",1342240,1344240
"626",21853628,21855628
"627",25530413,25532413
"628",19803529,19805529
"629",7989969,7991969
"630",26951172,26953172
"631",906672,908672
"632",24282441,24284441
"633",26160981,26162981
"634",20912401,20914401
"635",16002369,16004369
"636",13146784,13148784
"637",6589176,6591176
"638",13114985,13116985
"639",18798041,18800041
"640",26971802,26973802
"641",6415386,6417386
"642",14972886,14974886
"643",8565817,8567817
"644",21248559,21250559
"645",2035471,2037471
"646",1940929,1942929
"647",1353933,1355933
"648",4499921,4501921
"649",22255166,22257166
"650",6513244,6515244
"651",19642614,19644614
"652",10257932,10259932
"653",9279207,9281207
"654",2082561,2084561
"655",25825044,25827044
"656",3509098,3511098
"657",1390792,1392792
"658",4870278,4872278
"659",27337685,27339685
"660",18464629,18466629
"661",25171786,25173786
"662",1752940,1754940
"663",15145973,15147973
"664",24742271,24744271
"665",21540050,21542050
"666",21099810,21101810
"667",1100172,1102172
"668",7215922,7217922
"669",19593981,19595981
"670",7515404,7517404
"671",22443261,22445261
"672",21627867,21629867
"673",24120107,24122107
"674",8177130,8179130
"675",8043671,8045671
"676",6516485,6518485
"677",15067636,15069636
"678",7568333,7570333
"679",10067942,10069942
"680",19278928,19280928
"681",14211102,14213102
"682",11289773,11291773
"683",14879754,14881754
"684",20990208,20992208
"685",14725849,14727849
"686",12496784,12498784
"687",24508984,24510984
"688",1347009,1349009
"689",19406865,19408865
"690",15139011,15141011
"691",2970111,2972111
"692",9766665,9768665
"693",6625515,6627515
"694",8500067,8502067
"695",3941418,3943418
"696",12096484,12098484
"697",10339682,10341682
"698",5368217,5370217
"699",3102797,3104797
"700",24364384,24366384
"701",1719590,1721590
"702",2059134,2061134
"703",26679649,26681649
"704",15868767,15870767
"705",22767176,22769176
"706",14647976,14649976
"707",3611110,3613110
"708",18703957,18705957
"709",7112481,7114481
"710",22136824,22138824
"711",305028,307028
"712",17854703,17856703
"713",26230356,26232356
"714",12172700,12174700
"715",549185,551185
"716",19742299,19744299
"717",11273092,11275092
"718",11074640,11076640
"719",8648395,8650395
"720",15723113,15725113
"721",13780347,13782347
"722",15181925,15183925
"723",19270148,19272148
"724",21060440,21062440
"725",12680737,12682737
"726",26525731,26527731
"727",4050349,4052349
"728",20394382,20396382
"729",9963647,9965647
"730",154559,156559
"731",27891815,27893815
"732",8440214,8442214
"733",11575046,11577046
"734",21004251,21006251
"735",1027849,1029849
"736",11326454,11328454
"737",27353443,27355443
"738",19749969,19751969
"739",11487188,11489188
"740",4570906,4572906
"741",23074130,23076130
"742",11357824,11359824
"743",4113853,4115853
"744",22580575,22582575
"745",25975416,25977416
"746",10812965,10814965
"747",19969409,19971409
"748",1716859,1718859
"749",11700136,11702136
"750",9150017,9152017
"751",7225846,7227846
"752",7637274,7639274
"753",6372328,6374328
"754",26139629,26141629
"755",10038129,10040129
"756",26129215,26131215
"757",129018,131018
"758",2862161,2864161
"759",16069437,16071437
"760",14219119,14221119
"761",22807512,22809512
"762",8580458,8582458
"763",19108497,19110497
"764",3249184,3251184
"765",4330257,4332257
"766",18646112,18648112
"767",4639004,4641004
"768",24920892,24922892
"769",6941803,6943803
"770",27345334,27347334
"771",11522489,11524489
"772",3339444,3341444
"773",10351528,10353528
"774",16219218,16221218
"775",26420500,26422500
"776",3211906,3213906
"777",21033759,21035759
"778",25332979,25334979
"779",1447167,1449167
"780",18961241,18963241
"781",3044100,3046100
"782",19428426,19430426
"783",11383744,11385744
"784",10901444,10903444
"785",19177101,19179101
"786",12460125,12462125
"787",21290650,21292650
"788",12753946,12755946
"789",6833728,6835728
"790",20477751,20479751
"791",3914554,3916554
"792",4953671,4955671
"793",13655677,13657677
"794",4859380,4861380
"795",10452499,10454499
"796",8085163,8087163
"797",19416344,19418344
"798",9836257,9838257
"799",19059194,19061194
"800",18689458,18691458
"801",374713,376713
"802",14433216,14435216
"803",9287990,9289990
"804",19022356,19024356
"805",12455155,12457155
"806",16693963,16695963
"807",7045811,7047811
"808",19010922,19012922
"809",21612728,21614728
"810",5867829,5869829
"811",5347004,5349004
"812",27832317,27834317
"813",6535913,6537913
"814",23398586,23400586
"815",24674168,24676168
"816",10401362,10403362
"817",25873140,25875140
"818",19960742,19962742
"819",25285229,25287229
"820",2735051,2737051
"821",23197624,23199624
"822",4153565,4155565
"823",19980773,19982773
"824",13308046,13310046
"825",9916838,9918838
"826",24862519,24864519
"827",16157057,16159057
"828",23328475,23330475
"829",25340166,25342166
"830",10355129,10357129
"831",14145887,14147887
"832",1776386,1778386
"833",18753924,18755924
"834",4894109,4896109
"835",7854753,7856753
"836",13304943,13306943
"837",10121123,10123123
"838",15336464,15338464
"839",8168197,8170197
"840",19762625,19764625
"841",25862877,25864877
"842",10762143,10764143
"843",2245073,2247073
"844",7042918,7044918
"845",21940553,21942553
"846",14777461,14779461
"847",24273938,24275938
"848",3124026,3126026
"849",14529644,14531644
"850",6629021,6631021
"851",5790780,5792780
"852",7799105,7801105
"853",3472531,3474531
"854",24782303,24784303
"855",11886717,11888717
"856",8227808,8229808
"857",2427631,2429631
"858",2833341,2835341
"859",14737356,14739356
"860",8706873,8708873
"861",1332011,1334011
"862",22674394,22676394
"863",11828392,11830392
"864",24103450,24105450
"865",870655,872655
"866",9467483,9469483
"867",26582733,26584733
"868",2799480,2801480
"869",16456240,16458240
"870",1079575,1081575
"871",1664099,1666099
"872",15061020,15063020
"873",16721218,16723218
"874",7523922,7525922
"875",18795262,18797262
"876",24946591,24948591
"877",8719734,8721734
"878",4604434,4606434
"879",25120886,25122886
"880",22197623,22199623
"881",24727600,24729600
"882",10660347,10662347
"883",8357422,8359422
"884",2880153,2882153
"885",348224,350224
"886",7863248,7865248
"887",19628888,19630888
"888",13069497,13071497
"889",19774005,19776005
"890",2341500,2343500
"891",13625120,13627120
"892",2377582,2379582
"893",16268252,16270252
"894",7703485,7705485
"895",19124990,19126990
"896",6699390,6701390
"897",1615169,1617169
"898",16745301,16747301
"899",6386017,6388017
"900",9850034,9852034
"901",2006686,2008686
"902",7658329,7660329
"903",2477847,2479847
"904",24484585,24486585
"905",13561210,13563210
"906",9914209,9916209
"907",13727947,13729947
"908",16023311,16025311
"909",7376188,7378188
"910",10646601,10648601
"911",27735380,27737380
"912",1670851,1672851
"913",22170535,22172535
"914",15770648,15772648
"915",14051122,14053122
"916",15523359,15525359
"917",22024904,22026904
"918",22360733,22362733
"919",23874652,23876652
"920",13319117,13321117
"921",9584859,9586859
"922",926006,928006
"923",26082609,26084609
"924",20697433,20699433
"925",3223608,3225608
"926",9681166,9683166
"927",21967557,21969557
"928",6825057,6827057
"929",18872216,18874216
"930",942206,944206
"931",1521721,1523721
"932",2998570,3000570
"933",11916830,11918830
"934",6338885,6340885
"935",25937654,25939654
"936",395423,397423
"937",21957711,21959711
"938",25535476,25537476
"939",99920,101920
"940",7544676,7546676
"941",24699000,24701000
"942",5530528,5532528
"943",3205324,3207324
"944",16688543,16690543
"945",2261057,2263057
"946",19139176,19141176
"947",9443050,9445050
"948",11277187,11279187
"949",8983318,8985318
"950",9687185,9689185
"951",1300401,1302401
"952",18447487,18449487
"953",27519039,27521039
"954",1111029,1113029
"955",22955828,22957828
"956",4241354,4243354
"957",11962084,11964084
"958",8777146,8779146
"959",22652659,22654659
"960",274648,276648
"961",18979788,18981788
"962",12294751,12296751
"963",18325965,18327965
"964",14580063,14582063
"965",1120202,1122202
"966",8606100,8608100
"967",8266471,8268471
"968",22072829,22074829
"969",9650789,9652789
"970",8258915,8260915
"971",5825958,5827958
"972",10684222,10686222
"973",18383584,18385584
"974",8849425,8851425
"975",21378444,21380444
"976",10125710,10127710
"977",20692233,20694233
"978",10189531,10191531
"979",14134366,14136366
"980",11297439,11299439
"981",23149859,23151859
"982",21007150,21009150
"983",8611846,8613846
"984",2957519,2959519
"985",27367180,27369180
"986",11145550,11147550
"987",2470458,2472458
"988",27203655,27205655
"989",9071493,9073493
"990",15513098,15515098
"991",3709214,3711214
"992",2486290,2488290
"993",3406882,3408882
"994",14314750,14316750
"995",26324314,26326314
"996",12106562,12108562
"997",1326419,1328419
"998",13467672,13469672
"999",15447990,15449990
"1000",6144067,6146067
"1001",2107244,2109244
"1002",27472012,27474012
"1003",2846868,2848868
"1004",3071993,3073993
"1005",26648249,26650249
"1006",20007728,20009728
"1007",3856078,3858078
"1008",19857190,19859190
"1009",214082,216082
"1010",625663,627663
"1011",10071295,10073295
"1012",18759332,18761332
"1013",7586592,7588592
"1014",27531377,27533377
"1015",27770719,27772719
"1016",25897267,25899267
"1017",27838585,27840585
"1018",23168591,23170591
"1019",18720883,18722883
"1020",3236286,3238286
"1021",22923958,22925958
"1022",21920429,21922429
"1023",17899454,17901454
"1024",199541,201541
"1025",19218634,19220634
"1026",12933645,12935645
"1027",21533986,21535986
"1028",23775484,23777484
"1029",21537308,21539308
"1030",11119421,11121421
"1031",41593,43593
"1032",20235823,20237823
"1033",2644963,2646963
"1034",5793775,5795775
"1035",19801092,19803092
"1036",7104029,7106029
"1037",27222933,27224933
"1038",2194667,2196667
"1039",10668743,10670743
"1040",9324662,9326662
"1041",10671880,10673880
"1042",14596027,14598027
"1043",23429713,23431713
"1044",21145699,21147699
"1045",20336462,20338462
"1046",15774381,15776381
"1047",19127703,19129703
"1048",19524866,19526866
"1049",18649589,18651589
"1050",4218304,4220304
"1051",8345589,8347589
"1052",3334325,3336325
"1053",26481092,26483092
"1054",1091241,1093241
"1055",26805565,26807565
"1056",7510142,7512142
"1057",16400383,16402383
"1058",3683127,3685127
"1059",16731140,16733140
"1060",4263570,4265570
"1061",16239400,16241400
"1062",1567826,1569826
"1063",6886198,6888198
"1064",10500739,10502739
"1065",16614623,16616623
"1066",8950514,8952514
"1067",8885176,8887176
"1068",12121055,12123055
"1069",18499941,18501941
"1070",19914520,19916520
"1071",17129526,17131526
"1072",26394883,26396883
"1073",8483167,8485167
"1074",11412487,11414487
"1075",25005482,25007482
"1076",16889915,16891915
"1077",11206684,11208684
"1078",23036052,23038052
"1079",23411878,23413878
"1080",56575,58575
"1081",10496474,10498474
"1082",27326743,27328743
"1083",8955143,8957143
"1084",13809429,13811429
"1085",7234618,7236618
"1086",6506864,6508864
"1087",24088426,24090426
"1088",7764116,7766116
"1089",25392096,25394096
"1090",28000955,28002955
"1091",25940203,25942203
"1092",20307163,20309163
"1093",21242175,21244175
"1094",13702703,13704703
"1095",9554633,9556633
"1096",13037358,13039358
"1097",19727318,19729318
"1098",16607614,16609614
"1099",24760810,24762810
"1100",21480765,21482765
"1101",17398650,17400650
"1102",9908780,9910780
"1103",11755492,11757492
"1104",9053763,9055763
"1105",19721115,19723115
"1106",22788495,22790495
"1107",15669862,15671862
"1108",3901216,3903216
"1109",9752720,9754720
"1110",15346123,15348123
"1111",19289384,19291384
"1112",17191000,17193000
"1113",22324013,22326013
"1114",1531945,1533945
"1115",22403417,22405417
"1116",11340961,11342961
"1117",4322216,4324216
"1118",7930760,7932760
"1119",24556928,24558928
"1120",14195860,14197860
"1121",13160732,13162732
"1122",21227560,21229560
"1123",8239442,8241442
"1124",16937261,16939261
"1125",418669,420669
"1126",14671642,14673642
"1127",20074709,20076709
"1128",11821124,11823124
"1129",10455527,10457527
"1130",10242697,10244697
"1131",21361688,21363688
"1132",14056868,14058868
"1133",10169024,10171024
"1134",21221253,21223253
"1135",6751155,6753155
"1136",26049106,26051106
"1137",9480159,9482159
"1138",1747298,1749298
"1139",6961147,6963147
"1140",9999750,10001750
"1141",3690672,3692672
"1142",25014227,25016227
"1143",368873,370873
"1144",3417278,3419278
"1145",10533797,10535797
"1146",19309070,19311070
"1147",15636713,15638713
"1148",26209797,26211797
"1149",2207207,2209207
"1150",19779955,19781955
"1151",3573864,3575864
"1152",1994333,1996333
"1153",16381508,16383508
"1154",20042604,20044604
"1155",24894773,24896773
"1156",3794577,3796577
"1157",711113,713113
"1158",13447427,13449427
"1159",7006196,7008196
"1160",18170303,18172303
"1161",714548,716548
"1162",4739078,4741078
"1163",5155634,5157634
"1164",18949585,18951585
"1165",15592920,15594920
"1166",6676815,6678815
"1167",1491052,1493052
"1168",21572945,21574945
"1169",15291028,15293028
"1170",11029318,11031318
"1171",3999219,4001219
"1172",20967158,20969158
"1173",20421094,20423094
"1174",11463012,11465012
"1175",8655078,8657078
"1176",11878415,11880415
"1177",20737753,20739753
"1178",19346924,19348924
"1179",13349964,13351964
"1180",5140042,5142042
"1181",1158692,1160692
"1182",3482360,3484360
"1183",1917523,1919523
"1184",14739419,14741419
"1185",4857076,4859076
"1186",26337335,26339335
"1187",7050404,7052404
"1188",10092769,10094769
"1189",24109074,24111074
"1190",5048031,5050031
"1191",5616575,5618575
"1192",20570107,20572107
"1193",2488296,2490296
"1194",17048946,17050946
"1195",11094336,11096336
"1196",27693300,27695300
"1197",20272228,20274228
"1198",18386330,18388330
"1199",11170412,11172412
"1200",13830361,13832361
"1201",13168208,13170208
"1202",1441433,1443433
"1203",15188452,15190452
"1204",27711717,27713717
"1205",24797709,24799709
"1206",13087178,13089178
"1207",9422384,9424384
"1208",21726356,21728356
"1209",22741956,22743956
"1210",8404750,8406750
"1211",15788274,15790274
"1212",8327708,8329708
"1213",27545871,27547871
"1214",3295088,3297088
"1215",21303585,21305585
"1216",24045676,24047676
"1217",27884745,27886745
"1218",1928643,1930643
"1219",7792741,7794741
"1220",7848876,7850876
"1221",20383632,20385632
"1222",25167216,25169216
"1223",377806,379806
"1224",15073621,15075621
"1225",9929037,9931037
"1226",5446605,5448605
"1227",9715805,9717805
"1228",9942414,9944414
"1229",27673934,27675934
"1230",11425184,11427184
"1231",1987282,1989282
"1232",22902786,22904786
"1233",18405391,18407391
"1234",27549352,27551352
"1235",26446699,26448699
"1236",21782447,21784447
"1237",15701416,15703416
"1238",10557658,10559658
"1239",13843971,13845971
"1240",9303324,9305324
"1241",8171061,8173061
"1242",24144408,24146408
"1243",18764781,18766781
"1244",8006333,8008333
"1245",14688353,14690353
"1246",4301001,4303001
"1247",21044194,21046194
"1248",3550433,3552433
"1249",4513468,4515468
"1250",20541426,20543426
"1251",9371387,9373387
"1252",3196577,3198577
"1253",22049629,22051629
"1254",11892035,11894035
"1255",2031663,2033663
"1256",25886876,25888876
